,0
Wind_speed_lag1,-0.3973444907145056
Wind_over_Q0.6,-0.3511623318655251
Wind_over_Q0.6_lag1,-0.3212242390221898
Wind_speed,-0.29870685637111877
Wind_over_Q0.8_lag1,-0.2385333087981575
Temp_lag1,-0.21110841348757714
Wind_over_Q0.8,-0.18391806574216393
Temp,-0.15768441664558722
TP_catch,-0.10335086865508344
Temp_prevSummer,-0.022887824344893264
Q_lag1,-0.014968019829519523
Pptn,0.012091299389010395
Rain_day,0.05380987127234616
Rain_day_lag1,0.05567081925811956
Pptn_intense,0.0631694490622213
Pptn_intense_lag1,0.07621247171723192
Q,0.10652988105490518
Pptn_lag1,0.138523007425941
Wind_under_Q0.4_lag1,0.3213384917546313
Wind_under_Q0.4,0.38834162286590385
Wind_under_Q0.2_lag1,0.44325251789353476
Wind_under_Q0.2,0.5122545297223691
TP_lake_prevSummer,0.6480183134900155
