,0
colour_lake_prevSummer,-0.4977673036913949
colour_lake,-0.44054049052625277
Wind_over_Q0.6_lag1,-0.3836310363822121
Wind_speed_lag1,-0.3142111672316357
Temp_prevSummer,-0.2618725211189717
Wind_over_Q0.6,-0.24912250726077487
Wind_over_Q0.8_lag1,-0.23812372802324897
Wind_speed,-0.20204277977312105
Pptn_intense_lag1,-0.20010169711061798
Temp,-0.19835362533522072
Q_lag1,-0.17634651983114605
Q,-0.16292242710566118
Pptn_lag1,-0.11196432212101581
Temp_lag1,-0.09053526625311062
Wind_over_Q0.8,-0.0844224970948744
Rain_day,-0.07128969161895901
Rain_day_lag1,-0.04031246641335903
Pptn,-0.03344195768516306
Pptn_intense,0.12875779840956877
TP_catch,0.16673511799600615
Wind_under_Q0.4,0.23200366797363858
Wind_under_Q0.4_lag1,0.2684565859096291
Wind_under_Q0.2,0.3025484847525687
Wind_under_Q0.2_lag1,0.35405169494243627
TP_lake_prevSummer,0.49197532884439477
CyanoBiovol_prevSummer,0.5541945355955908
chl-a_lake_prevSummer,0.5578100358402002
TP_lake,0.5769644091514936
chl-a_lake,0.7676661077206957
cyano_bxcx,0.9331888739738474
