year,chla,chla_prevSummer,colour,colour_prevSummer,cyano,rain,TP,TP_prevSummer,wind_speed
1996-01-01,H,H,L,L,H,L,H,L,L
1997-01-01,H,H,L,L,H,L,L,L,L
1998-01-01,H,H,L,L,H,H,H,L,L
1999-01-01,H,H,H,M,H,H,H,H,L
2000-01-01,H,H,L,H,H,H,H,H,H
2001-01-01,H,H,H,M,L,H,H,H,H
2002-01-01,H,H,H,H,L,H,H,H,L
2003-01-01,L,H,L,H,H,L,H,H,L
2004-01-01,H,H,L,M,H,H,H,H,L
2005-01-01,H,H,L,M,H,H,H,H,L
2006-01-01,H,H,H,M,H,H,H,H,L
2007-01-01,L,H,H,H,H,H,H,H,L
2008-01-01,L,H,H,H,L,H,H,H,L
2009-01-01,L,L,H,H,H,H,L,H,L
2010-01-01,L,L,H,H,L,H,L,L,L
2011-01-01,L,L,H,H,L,H,L,L,L
2012-01-01,L,L,H,H,L,H,L,L,H
2013-01-01,L,L,H,H,L,H,L,L,H
2014-01-01,L,L,L,H,L,H,L,L,L
2015-01-01,L,L,H,M,L,H,L,L,H
2016-01-01,L,L,H,H,L,L,L,L,H
2017-01-01,L,L,L,H,L,H,L,L,H
2018-01-01,L,L,L,M,L,L,L,L,H
