year,cyano,chla,colour,colour_prevSummer,rain
1996-01-01,H,H,L,L,L
1997-01-01,H,H,L,L,L
1998-01-01,H,H,L,L,H
1999-01-01,H,H,H,M,H
2000-01-01,H,H,L,M,H
2001-01-01,L,H,H,M,H
2002-01-01,L,H,H,H,H
2003-01-01,H,L,L,M,L
2004-01-01,H,H,L,M,H
2005-01-01,H,H,L,M,L
2006-01-01,H,H,H,M,H
2007-01-01,H,L,H,M,H
2008-01-01,L,L,H,H,H
2009-01-01,H,L,H,H,L
2010-01-01,L,L,H,M,H
2011-01-01,L,L,H,H,H
2012-01-01,L,L,H,H,H
2013-01-01,L,L,H,H,H
2014-01-01,L,L,L,M,H
2015-01-01,L,L,H,M,H
2016-01-01,L,L,H,M,L
2017-01-01,L,L,L,M,H
2018-01-01,L,L,L,M,L
