Date,Pptn,Temp,Wind_speed,PET,Q,TP_catch,chl-a_lake,TP_lake,colour_lake,PTI,Biovolume,CyanoBiovol,colour_van1,chl-a_van1,TP_van1,rel_res_time,Rain_day,Pptn_intense,Wind_under_Q0.1,Wind_under_Q0.2,Wind_under_Q0.3,Wind_under_Q0.4,Wind_under_Q0.5,Wind_over_Q0.5,Wind_over_Q0.6,Wind_over_Q0.7,Wind_over_Q0.8,Wind_over_Q0.9,status_TP_lake,status_chl-a_lake,status_CyanoBiovol,Pptn_lag1M,Temp_lag1M,Wind_speed_lag1M,PET_lag1M,Q_lag1M,TP_catch_lag1M,chl-a_lake_lag1M,TP_lake_lag1M,colour_lake_lag1M,PTI_lag1M,Biovolume_lag1M,CyanoBiovol_lag1M,colour_van1_lag1M,chl-a_van1_lag1M,TP_van1_lag1M,rel_res_time_lag1M,Rain_day_lag1M,Pptn_intense_lag1M,Wind_under_Q0.1_lag1M,Wind_under_Q0.2_lag1M,Wind_under_Q0.3_lag1M,Wind_under_Q0.4_lag1M,Wind_under_Q0.5_lag1M,Wind_over_Q0.5_lag1M,Wind_over_Q0.6_lag1M,Wind_over_Q0.7_lag1M,Wind_over_Q0.8_lag1M,Wind_over_Q0.9_lag1M,status_TP_lake_lag1M,status_chl-a_lake_lag1M,status_CyanoBiovol_lag1M,Month,season_2,Pptn_winterSum,Rain_day_winterSum,Pptn_intense_winterSum,PET_winterSum,Wind_under_Q0.1_winterSum,Wind_under_Q0.2_winterSum,Wind_under_Q0.3_winterSum,Wind_under_Q0.4_winterSum,Wind_under_Q0.5_winterSum,Wind_over_Q0.5_winterSum,Wind_over_Q0.6_winterSum,Wind_over_Q0.7_winterSum,Wind_over_Q0.8_winterSum,Wind_over_Q0.9_winterSum,Pptn_lag2M_sum,Pptn_lag3M_sum,Pptn_lag4M_sum,Pptn_lag5M_sum,Pptn_lag6M_sum,Rain_day_lag2M_sum,Rain_day_lag3M_sum,Rain_day_lag4M_sum,Rain_day_lag5M_sum,Rain_day_lag6M_sum,Pptn_intense_lag2M_sum,Pptn_intense_lag3M_sum,Pptn_intense_lag4M_sum,Pptn_intense_lag5M_sum,Pptn_intense_lag6M_sum,PET_lag2M_sum,PET_lag3M_sum,PET_lag4M_sum,PET_lag5M_sum,PET_lag6M_sum,Wind_under_Q0.1_lag2M_sum,Wind_under_Q0.1_lag3M_sum,Wind_under_Q0.1_lag4M_sum,Wind_under_Q0.1_lag5M_sum,Wind_under_Q0.1_lag6M_sum,Wind_under_Q0.2_lag2M_sum,Wind_under_Q0.2_lag3M_sum,Wind_under_Q0.2_lag4M_sum,Wind_under_Q0.2_lag5M_sum,Wind_under_Q0.2_lag6M_sum,Wind_under_Q0.3_lag2M_sum,Wind_under_Q0.3_lag3M_sum,Wind_under_Q0.3_lag4M_sum,Wind_under_Q0.3_lag5M_sum,Wind_under_Q0.3_lag6M_sum,Wind_under_Q0.4_lag2M_sum,Wind_under_Q0.4_lag3M_sum,Wind_under_Q0.4_lag4M_sum,Wind_under_Q0.4_lag5M_sum,Wind_under_Q0.4_lag6M_sum,Wind_under_Q0.5_lag2M_sum,Wind_under_Q0.5_lag3M_sum,Wind_under_Q0.5_lag4M_sum,Wind_under_Q0.5_lag5M_sum,Wind_under_Q0.5_lag6M_sum,Wind_over_Q0.5_lag2M_sum,Wind_over_Q0.5_lag3M_sum,Wind_over_Q0.5_lag4M_sum,Wind_over_Q0.5_lag5M_sum,Wind_over_Q0.5_lag6M_sum,Wind_over_Q0.6_lag2M_sum,Wind_over_Q0.6_lag3M_sum,Wind_over_Q0.6_lag4M_sum,Wind_over_Q0.6_lag5M_sum,Wind_over_Q0.6_lag6M_sum,Wind_over_Q0.7_lag2M_sum,Wind_over_Q0.7_lag3M_sum,Wind_over_Q0.7_lag4M_sum,Wind_over_Q0.7_lag5M_sum,Wind_over_Q0.7_lag6M_sum,Wind_over_Q0.8_lag2M_sum,Wind_over_Q0.8_lag3M_sum,Wind_over_Q0.8_lag4M_sum,Wind_over_Q0.8_lag5M_sum,Wind_over_Q0.8_lag6M_sum,Wind_over_Q0.9_lag2M_sum,Wind_over_Q0.9_lag3M_sum,Wind_over_Q0.9_lag4M_sum,Wind_over_Q0.9_lag5M_sum,Wind_over_Q0.9_lag6M_sum,TP_catch_lag2M_av,TP_catch_lag3M_av,Temp_lag2M_av,Temp_lag3M_av,Q_lag2M_av,Q_lag3M_av,rel_res_time_lag2M_av,rel_res_time_lag3M_av,Season,chl-a_lake_prevSummer,TP_lake_prevSummer,CyanoBiovol_prevSummer,status_chl-a_lake_prevSummer,status_TP_lake_prevSummer,status_CyanoBiovol_prevSummer,chl-a_van1_prevSummer,TP_van1_prevSummer
1980-01-31,22.434315184,-8.091380605935482,2.319354838709677,0.0,4.149764705882353,,,,,,,,,,,0.3450802257530308,19,1,9.0,14.0,17.0,17.0,24.0,7.0,6.0,3.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wint,,,,,,,,
1980-02-29,33.53706731799999,-9.190933518172413,2.403448275862069,0.0,0.34559999999999996,,,,,,,,,,,3.009478577621224,17,1,10.0,13.0,15.0,17.0,20.0,9.0,6.0,3.0,3.0,1.0,,,,22.434315184,-8.091380605935482,2.319354838709677,0.0,4.149764705882353,,,,,,,,,,,0.3450802257530308,19.0,1.0,9.0,14.0,17.0,17.0,24.0,7.0,6.0,3.0,2.0,0.0,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wint,,,,,,,,
1980-03-31,36.902468848000005,-4.001408170225806,3.1225806451612907,4.107806912,0.3657931034482759,,,,,,,,,,39.5,2.9378025304805333,18,1,3.0,8.0,9.0,10.0,18.0,13.0,9.0,6.0,3.0,0.0,,,,33.53706731799999,-9.190933518172413,2.403448275862069,0.0,0.34559999999999996,,,,,,,,,,,3.009478577621224,17.0,1.0,10.0,13.0,15.0,17.0,20.0,9.0,6.0,3.0,3.0,1.0,,,,3,0,,,,,,,,,,,,,,,55.97138250199999,,,,,36.0,,,,,2.0,,,,,0.0,,,,,19.0,,,,,27.0,,,,,32.0,,,,,34.0,,,,,44.0,,,,,16.0,,,,,12.0,,,,,6.0,,,,,5.0,,,,,1.0,,,,,,,-8.641157062053948,,2.2476823529411765,,1.6772794016871273,,spr,,,,,,,,
1980-04-30,10.553204994,4.218885234233334,3.5766666666666667,34.443101584,10.717172413793104,130.0,3.9714285714285715,45.25,,,,,,1.2333333333333334,53.55902777777778,0.16897569220784844,10,0,3.0,5.0,6.0,10.0,16.0,14.0,12.0,8.0,3.0,2.0,PB,HG,,36.902468848000005,-4.001408170225806,3.1225806451612907,4.107806912,0.3657931034482759,,,,,,,,,,39.5,2.9378025304805333,18.0,1.0,3.0,8.0,9.0,10.0,18.0,13.0,9.0,6.0,3.0,0.0,,,,4,1,,,,,,,,,,,,,,,70.439536166,92.87385135,,,,35.0,54.0,,,,2.0,3.0,,,,4.107806912,4.107806912,,,,13.0,22.0,,,,21.0,35.0,,,,24.0,41.0,,,,27.0,44.0,,,,38.0,62.0,,,,22.0,29.0,,,,15.0,21.0,,,,9.0,12.0,,,,6.0,8.0,,,,1.0,1.0,,,,,,-6.596170844199109,-7.0945740981112335,0.35569655172413794,1.620385936443543,2.9736405540508786,2.097453777951596,spr,,,,,,,,
1980-05-31,59.36214211000001,11.237943195096774,3.3838709677419354,89.63043316400001,4.432066666666667,50.0,9.948809523809524,38.85714285714286,,,,,,2.68,67.075,0.28734875484869,12,4,0.0,2.0,6.0,11.0,15.0,15.0,11.0,5.0,3.0,1.0,M,HG,,10.553204994,4.218885234233334,3.5766666666666667,34.443101584,10.717172413793104,130.0,3.9714285714285715,45.25,,,,,,1.2333333333333334,53.55902777777778,0.16897569220784844,10.0,0.0,3.0,5.0,6.0,10.0,16.0,14.0,12.0,8.0,3.0,2.0,PB,HG,,5,1,,,,,,,,,,,,,,,47.455673842,80.99274116,103.427056344,,,28.0,45.0,64.0,,,1.0,2.0,3.0,,,38.550908496,38.550908496,38.550908496,,,6.0,16.0,25.0,,,13.0,26.0,40.0,,,15.0,30.0,47.0,,,20.0,37.0,54.0,,,34.0,54.0,78.0,,,27.0,36.0,43.0,,,21.0,27.0,33.0,,,14.0,17.0,20.0,,,6.0,9.0,11.0,,,2.0,3.0,3.0,,,,,0.10873853200376526,-2.991152151388295,5.541482758620691,3.80952183908046,1.5533891113441907,2.0387522667698685,spr,,,,,,,,
1980-06-30,131.738069428,15.539921493333331,3.016666666666666,122.847222603,4.893233333333333,80.0,13.2,32.63333333333334,,,,,,4.751388888888888,24.444444444444443,0.26481001488260136,25,6,3.0,9.0,12.0,17.0,18.0,12.0,11.0,7.0,3.0,0.0,M,M,,59.36214211000001,11.237943195096774,3.3838709677419354,89.63043316400001,4.432066666666667,50.0,9.948809523809524,38.85714285714286,,,,,,2.68,67.075,0.28734875484869,12.0,4.0,0.0,2.0,6.0,11.0,15.0,15.0,11.0,5.0,3.0,1.0,M,HG,,6,1,,,,,,,,,,,,,,,69.915347104,106.81781595200002,140.35488327000002,162.789198454,,22.0,40.0,57.0,76.0,,4.0,5.0,6.0,7.0,,124.07353474800001,128.18134166000002,128.18134166000002,128.18134166000002,,3.0,6.0,16.0,25.0,,7.0,15.0,28.0,42.0,,12.0,21.0,36.0,53.0,,21.0,31.0,48.0,65.0,,31.0,49.0,69.0,93.0,,29.0,42.0,51.0,58.0,,23.0,32.0,38.0,44.0,,13.0,19.0,22.0,25.0,,6.0,9.0,12.0,14.0,,3.0,3.0,4.0,4.0,,90.0,,7.728414214665055,3.818473419701434,7.574619540229886,5.171677394636015,0.22816222352826898,1.1313756591790238,summ,,,,,,,,
1980-07-31,51.099006547,16.60552205903226,2.9000000000000004,129.31404558500003,3.487090909090909,75.0,13.35857142857143,36.76190476190476,,,,,,5.627083333333333,22.88888888888889,0.4350747358785601,26,1,2.0,6.0,7.0,15.0,22.0,8.0,5.0,3.0,1.0,0.0,M,M,,131.738069428,15.539921493333331,3.016666666666666,122.847222603,4.893233333333333,80.0,13.2,32.63333333333334,,,,,,4.751388888888888,24.444444444444443,0.26481001488260136,25.0,6.0,3.0,9.0,12.0,17.0,18.0,12.0,11.0,7.0,3.0,0.0,M,M,,7,1,,,,,,,,,,,,,,,191.100211538,201.653416532,238.55588537999998,272.092952698,294.527267882,37.0,47.0,65.0,82.0,101.0,10.0,10.0,11.0,12.0,13.0,212.47765576700002,246.92075735100002,251.02856426300002,251.02856426300002,251.02856426300002,3.0,6.0,9.0,19.0,28.0,11.0,16.0,24.0,37.0,51.0,18.0,24.0,33.0,48.0,65.0,28.0,38.0,48.0,65.0,82.0,33.0,49.0,67.0,87.0,111.0,27.0,41.0,54.0,63.0,70.0,22.0,34.0,43.0,49.0,55.0,12.0,20.0,26.0,29.0,32.0,6.0,9.0,12.0,15.0,17.0,1.0,3.0,3.0,4.0,4.0,65.0,86.66666666666667,13.388932344215053,10.332249974221147,4.662650000000001,6.680824137931034,0.2760793848656454,0.24037815397971304,summ,,,,,,,,
1980-08-31,96.99181388599997,14.394161282451611,3.141935483870968,101.334176867,1.856322580645161,70.0,24.169047619047618,67.4,,,,,,10.96904761904762,20.345238095238095,0.7858267990382674,24,5,0.0,3.0,9.0,14.0,18.0,11.0,5.0,4.0,2.0,2.0,PB,PB,,51.099006547,16.60552205903226,2.9000000000000004,129.31404558500003,3.487090909090909,75.0,13.35857142857143,36.76190476190476,,,,,,5.627083333333333,22.88888888888889,0.4350747358785601,26.0,1.0,2.0,6.0,7.0,15.0,22.0,8.0,5.0,3.0,1.0,0.0,M,M,,8,1,,,,,,,,,,,,,,,182.83707597499998,242.19921808499998,252.75242307899998,289.654891927,323.19195924499996,51.0,63.0,73.0,91.0,108.0,7.0,11.0,11.0,12.0,13.0,252.161268188,341.7917013520001,376.23480293600005,380.34260984800005,380.34260984800005,5.0,5.0,8.0,11.0,21.0,15.0,17.0,22.0,30.0,43.0,19.0,25.0,31.0,40.0,55.0,32.0,43.0,53.0,63.0,80.0,40.0,55.0,71.0,89.0,109.0,20.0,35.0,49.0,62.0,71.0,16.0,27.0,39.0,48.0,54.0,10.0,15.0,23.0,29.0,32.0,4.0,7.0,10.0,13.0,16.0,0.0,1.0,3.0,3.0,4.0,77.5,68.33333333333333,16.072721776182796,14.461128915820789,4.190162121212122,4.27079696969697,0.3499423753805805,0.32907783520328354,summ,,,,,,,,
1980-09-30,80.825943874,10.885391213733335,3.5300000000000002,62.15580131,3.3903103448275864,157.0,18.50952380952381,33.857142857142854,,,,,,3.8488095238095235,24.92361111111111,0.40536811572315373,28,3,0.0,5.0,9.0,12.0,15.0,13.0,11.0,10.0,7.0,3.0,M,M,,96.99181388599997,14.394161282451611,3.141935483870968,101.334176867,1.856322580645161,70.0,24.169047619047618,67.4,,,,,,10.96904761904762,20.345238095238095,0.7858267990382674,24.0,5.0,0.0,3.0,9.0,14.0,18.0,11.0,5.0,4.0,2.0,2.0,PB,PB,,9,1,,,,,,,,,,,,,,,148.09082043299995,279.828889861,339.191031971,349.74423696499997,386.646705813,50.0,75.0,87.0,97.0,115.0,6.0,12.0,16.0,16.0,17.0,230.648222452,353.49544505500006,443.12587821900007,477.56897980300005,481.67678671500005,2.0,5.0,5.0,8.0,11.0,9.0,18.0,20.0,25.0,33.0,16.0,28.0,34.0,40.0,49.0,29.0,46.0,57.0,67.0,77.0,40.0,58.0,73.0,89.0,107.0,19.0,31.0,46.0,60.0,73.0,10.0,21.0,32.0,44.0,53.0,7.0,14.0,19.0,27.0,33.0,3.0,6.0,9.0,12.0,15.0,2.0,2.0,3.0,5.0,5.0,72.5,75.0,15.499841670741937,15.513201611605735,2.671706744868036,3.412215607689801,0.6104507674584135,0.495237183266476,aut,,,,,,,,
1980-10-31,173.85888112499998,3.4883971316774196,3.9709677419354836,22.010306827999997,16.180290322580646,,,70.0,,,,,,,32.80952380952381,0.09721268566893575,29,6,5.0,9.0,11.0,12.0,13.0,18.0,17.0,16.0,11.0,4.0,PB,,,80.825943874,10.885391213733335,3.5300000000000002,62.15580131,3.3903103448275864,157.0,18.50952380952381,33.857142857142854,,,,,,3.8488095238095235,24.92361111111111,0.40536811572315373,28.0,3.0,0.0,5.0,9.0,12.0,15.0,13.0,11.0,10.0,7.0,3.0,M,M,,10,0,,,,,,,,,,,,,,,177.81775775999995,228.91676430700002,360.654833735,420.016975845,430.570180839,52.0,78.0,103.0,115.0,125.0,8.0,9.0,15.0,19.0,19.0,163.48997817699995,292.80402376200004,415.6512463650001,505.2816795290001,539.7247811130001,0.0,2.0,5.0,5.0,8.0,8.0,14.0,23.0,25.0,30.0,18.0,25.0,37.0,43.0,49.0,26.0,41.0,58.0,69.0,79.0,33.0,55.0,73.0,88.0,104.0,24.0,32.0,44.0,59.0,73.0,16.0,21.0,32.0,43.0,55.0,14.0,17.0,24.0,29.0,37.0,9.0,10.0,13.0,16.0,19.0,5.0,5.0,5.0,6.0,8.0,113.5,100.66666666666667,12.639776248092474,13.961691518405736,2.6233164627363745,2.9112412781878856,0.5955974573807103,0.5420898835466601,aut,,,,,,,,
