Date,Pptn,Temp,Wind_speed,PET,Q,TP_catch,TP_lake,colour_lake,Rain_day,Pptn_intense,Wind_under_Q0.2,Wind_under_Q0.4,Wind_over_Q0.6,Wind_over_Q0.8,Pptn_lag1,Temp_lag1,Wind_speed_lag1,PET_lag1,Q_lag1,Rain_day_lag1,Pptn_intense_lag1,Wind_under_Q0.2_lag1,Wind_under_Q0.4_lag1,Wind_over_Q0.6_lag1,Wind_over_Q0.8_lag1,colour_lake_prevSummer,Temp_prevSummer
1982-10-31,458.4747891999999,13.190845644298918,3.818478260869565,523.4133245720001,39.51512639999999,45.5,26.988095237142858,26.666666666666668,64.0,18.0,19.0,52.0,82.0,43.0,366.125942502,-1.877037558182322,3.3602209944751382,49.29855099000001,96.42888,60.0,10.0,47.0,82.0,69.0,41.0,,12.59997121174457
1983-10-31,466.63105234799997,13.283700343679342,4.247282608695653,524.3061095990001,47.97783360000001,,29.781250000000004,17.625,63.0,14.0,13.0,49.0,94.0,55.0,501.956671457,1.4813156777900554,3.7281767955801084,60.945000081,124.07178240000002,68.0,14.0,44.0,72.0,77.0,48.0,26.666666666666668,13.190845644298918
1985-10-31,548.3746134810001,12.465199497652181,3.6440217391304377,507.75827945600014,95.43052800000002,107.29411764705883,30.957142858571427,34.404761904285714,75.0,18.0,29.0,72.0,72.0,44.0,390.26504946200004,-1.7421515805966843,3.2033149171270723,40.35311993499998,106.74581759999998,62.0,12.0,50.0,83.0,63.0,32.0,,13.326956515369565
1986-10-31,429.2712837579999,12.202529926271728,4.122282608695657,503.504316194,,106.97142857142856,33.78888889,27.472222223333333,64.0,13.0,16.0,47.0,95.0,55.0,343.33934932200003,-3.0924409166464075,3.512154696132597,28.43307455,27.737337599999996,53.0,10.0,53.0,78.0,70.0,46.0,34.404761904285714,12.465199497652181
1987-10-31,708.3290053490002,11.587688747271738,3.451630434782609,487.4252892889995,,112.41923076923078,23.433333333333334,29.02777777833333,85.0,21.0,27.0,69.0,62.0,25.0,389.16522635099994,-1.9156692656298333,3.4502762430939202,57.20747432100003,,60.0,9.0,49.0,82.0,67.0,43.0,27.472222223333333,12.202529926271728
1988-10-31,649.2830377570002,13.400832995086951,3.4869565217391325,523.9881009949997,,48.73469387755101,29.533333333333335,32.27777777666667,74.0,22.0,26.0,67.0,64.0,35.0,550.765753121,0.3342298075109888,3.278571428571429,34.273999260000004,,79.0,18.0,51.0,82.0,64.0,34.0,29.02777777833333,11.587688747271738
1989-10-31,390.368071209,12.86889156920109,3.772826086956523,503.7450417649999,,46.3,27.057142857142853,23.857142857142858,59.0,11.0,21.0,57.0,80.0,44.0,345.4128824849999,2.24047625135359,3.618232044198895,80.00489963,,55.0,7.0,37.0,65.0,73.0,42.0,32.27777777666667,13.400832995086951
1990-10-31,403.2231523200001,13.054733709782598,3.679891304347827,510.3597543949994,,59.464000000000006,28.900000000000006,19.857142857142858,61.0,15.0,20.0,51.0,81.0,32.0,507.7406559730002,3.0132474663701654,3.968508287292816,99.39146167099999,,68.0,14.0,46.0,68.0,98.0,60.0,23.857142857142858,12.86889156920109
1991-10-31,399.36212001900003,12.725902773380437,3.6869565217391322,507.06440214800017,,33.276923076923076,27.225,20.625,50.0,12.0,30.0,69.0,72.0,49.0,343.022248378,0.3487857706132597,3.1906077348066306,51.76249367699999,,54.0,14.0,53.0,87.0,63.0,31.0,19.857142857142858,13.054733709782598
1992-10-31,385.74002780000006,12.879880992005432,3.7201086956521765,525.1973503149997,,50.23103448275862,31.342857142857145,21.285714285714285,57.0,13.0,28.0,55.0,78.0,43.0,373.73767940199997,2.0916021822032973,3.7532967032967033,63.012168035999984,,62.0,10.0,39.0,62.0,73.0,45.0,20.625,12.725902773380437
1993-10-31,493.4495718220001,11.46731259663587,3.4353260869565254,492.89150481499996,0.36521280000000006,42.07619047619047,27.3,24.428571428571427,65.0,16.0,25.0,68.0,70.0,24.0,394.5430485219999,1.4001297126961327,3.7613259668508277,55.85066399300001,,48.0,15.0,46.0,73.0,77.0,52.0,21.285714285714285,12.879880992005432
1994-10-31,373.293969654,12.906667982211957,3.6423913043478238,520.2532669290002,31.1498784,55.666666666666664,30.442857142857147,27.714285714285715,48.0,11.0,19.0,56.0,75.0,34.0,442.4330495600001,-1.3462315378729275,3.645856353591159,45.62200732200001,83.23395839999995,59.0,13.0,40.0,74.0,74.0,49.0,24.428571428571427,11.46731259663587
1995-10-31,427.3085932229999,13.372580757967386,3.6114130434782603,527.4951735139999,40.5399168,75.50588235294119,29.45,25.833333333333332,65.0,12.0,26.0,62.0,74.0,35.0,524.2438970259999,1.0918526079171273,3.7104972375690597,48.56086335100001,134.55227520000008,72.0,16.0,45.0,68.0,81.0,46.0,27.714285714285715,12.906667982211957
1996-10-31,449.609512642,12.510690081402176,3.5440217391304363,508.8683389420001,49.77072000000001,107.78399999999999,31.283333333333335,17.666666666666668,57.0,15.0,31.0,70.0,71.0,31.0,134.85472066399998,-2.222985460609893,2.1329670329670334,40.06407079299999,29.137449600000018,30.0,2.0,87.0,128.0,25.0,10.0,25.833333333333332,13.372580757967386
1997-10-31,420.42937626300005,13.651246177663051,3.2369565217391307,544.3867578359999,26.809574399999992,45.54615384615385,29.416666666666668,19.0,55.0,16.0,30.0,77.0,51.0,23.0,324.184352821,0.08146005404419886,3.4850828729281758,52.41919679499999,83.35612800000001,46.0,13.0,50.0,74.0,76.0,46.0,17.666666666666668,12.510690081402176
1999-10-31,630.476421443,12.939059789179353,3.5331521739130474,516.6124132259998,73.31238720000002,99.39999999999999,,50.42307692307692,70.0,23.0,31.0,63.0,66.0,37.0,493.07983717999986,0.4584551942983423,3.1480662983425423,46.680982415,130.62435840000003,71.0,19.0,55.0,97.0,53.0,38.0,,12.224183755978263
2000-10-31,617.6580098779999,13.102658030711957,3.5771739130434783,510.8421770849992,58.05276479999998,64.11111111111111,32.666666666666664,42.56,76.0,20.0,16.0,62.0,70.0,34.0,432.2594072609999,1.809360691994505,3.8197802197802195,68.73090670799999,97.34497920000005,61.0,10.0,36.0,72.0,70.0,46.0,50.42307692307692,12.939059789179353
2001-10-31,511.777686395,13.59602419134782,3.634239130434782,529.4805287509998,53.74460160000003,58.5,38.333333333333336,68.70370370370371,68.0,17.0,25.0,55.0,64.0,33.0,756.2078073090003,0.6066048821823214,3.0751381215469595,57.353370128000016,201.6097344000001,88.0,29.0,59.0,98.0,55.0,38.0,42.56,13.102658030711957
2002-10-31,549.788892476,13.814745476793473,3.2624999999999984,544.6833483399997,49.46616000000002,45.0,36.666666666666664,54.57692307692308,57.0,18.0,37.0,84.0,58.0,29.0,311.76998462599994,1.2871893846298341,3.4790055248618788,68.75412629199998,71.82216000000004,53.0,8.0,42.0,74.0,65.0,39.0,68.70370370370371,13.59602419134782
2003-10-31,415.38032154800004,13.169746600766302,3.51413043478261,530.13461866,28.508976000000015,48.166666666666664,33.57142857142857,42.875,66.0,9.0,22.0,60.0,66.0,29.0,361.1620905480001,-1.0451591231104966,3.1320441988950276,43.199518551999994,63.554371199999984,45.0,15.0,59.0,94.0,57.0,32.0,54.57692307692308,13.814745476793473
2004-10-31,558.396489496,13.211288605853264,3.5264705882352962,525.5537280710003,46.34746559999999,,36.833333333333336,38.666666666666664,70.0,21.0,23.0,63.0,63.0,27.0,434.04431533800016,1.4660198886978022,3.0654411764705873,65.658289932,68.05010879999998,66.0,13.0,41.0,68.0,38.0,19.0,42.875,13.169746600766302
2005-10-31,471.9703400909999,13.310148989135872,3.4666666666666663,526.1864627010002,30.0219264,44.54545454545455,32.01086956521739,46.5,67.0,18.0,23.0,58.0,62.0,23.0,260.24612498100004,1.640844404662983,3.4874999999999994,58.482995173999996,56.37444480000001,47.0,8.0,44.0,76.0,57.0,39.0,38.666666666666664,13.211288605853264
2006-10-31,535.903365983,15.044658084092392,3.071038251366119,560.7157833019997,46.327248,24.0,34.5,48.333333333333336,67.0,20.0,27.0,92.0,47.0,17.0,409.594880087,-0.08298276326519301,3.116022099447515,48.19910226999999,86.78888639999998,68.0,9.0,50.0,92.0,54.0,32.0,46.5,13.310148989135872
2007-10-31,555.647754243,13.5132286063587,3.3950276243093924,527.5181678240003,51.279609600000065,111.19565217391305,32.16,65.71428571428571,66.0,17.0,32.0,78.0,58.0,35.0,559.81845263,3.2218843125414374,3.6165745856353624,95.52840350299999,149.0893344,69.0,17.0,32.0,70.0,72.0,42.0,48.333333333333336,15.044658084092392
2008-10-31,591.631903338,13.63429212655434,3.0983146067415737,532.506991371,58.01906880000002,51.407407407407405,32.75,69.0,61.0,25.0,35.0,91.0,46.0,22.0,602.152476094,2.5371100874835157,3.5311111111111093,75.40659560700001,154.0257984,69.0,18.0,35.0,69.0,68.0,39.0,65.71428571428571,13.5132286063587
2009-10-31,489.80945449599994,13.424088789777178,3.2211956521739125,530.1172976800001,39.68922240000001,45.791666666666664,28.956521739130434,58.285714285714285,64.0,13.0,35.0,75.0,56.0,23.0,327.0334382599999,1.1662348732265193,2.807734806629833,67.279581451,105.25559039999997,50.0,11.0,57.0,105.0,45.0,21.0,69.0,13.63429212655434
2010-10-31,564.4885336280003,13.099051878380427,3.274863387978141,524.107976553,64.63316160000002,95.66666666666667,26.347826086956523,61.714285714285715,66.0,20.0,35.0,74.0,57.0,20.0,385.18761947999985,-1.3352368824254148,2.8082872928176785,55.97323290799999,100.23428160000002,59.0,14.0,56.0,104.0,39.0,19.0,58.285714285714285,13.424088789777178
2011-10-31,732.3459662370001,13.868457810152172,3.336956521739135,534.0155226029999,96.82519679999994,66.52,26.56,72.23076923076923,82.0,26.0,25.0,75.0,61.0,20.0,256.402740425,-1.710648817265194,2.9209944751381216,58.64117576499999,67.44263040000001,43.0,6.0,57.0,101.0,50.0,24.0,61.714285714285715,13.099051878380427
2012-10-31,630.3895457469999,12.668733072244564,3.621428571428571,510.5493537679998,77.94230400000002,49.65384615384615,26.041666666666668,64.0,87.0,20.0,11.0,53.0,73.0,33.0,360.68779999000003,2.346525287324176,3.3441988950276254,85.38076363399999,57.21943680000002,46.0,13.0,45.0,88.0,59.0,35.0,72.23076923076923,13.868457810152172
2013-10-31,500.99999929600006,13.817510331978257,3.567391304347825,539.2062060239998,61.51083840000005,74.2,22.992307692307694,60.22307692307693,69.0,13.0,20.0,58.0,75.0,28.0,312.04092800999996,-0.98623547638674,3.666480446927374,45.527181795000004,85.89179520000003,53.0,7.0,27.0,64.0,69.0,42.0,64.0,12.668733072244564
