year,chla,chla_prevSummer,colour,colour_prevSummer,cyano,rain,TP,TP_prevSummer,wind_speed
1981,8.33125,16.080129870272728,26.666666666666668,26.666666666666668,,494.730156528,28.833333335,43.57301587333333,3.488586956521739
1982,5.975,8.33125,26.666666666666668,26.666666666666668,,458.4747892,26.988095237142858,28.833333335,3.818478260869565
1983,6.050000000000001,5.975,17.625,26.666666666666668,,466.631052348,29.78125,26.988095237142858,4.247282608695652
1984,11.61111111111111,6.050000000000001,26.014880952142857,17.625,,561.4720653100001,27.15833333333333,29.78125,3.796739130434783
1985,11.895238094714284,11.61111111111111,34.404761904285714,26.014880952142857,,548.374613481,30.957142858571427,27.15833333333333,3.6440217391304346
1986,12.677777776666666,11.895238094714284,27.472222223333333,34.404761904285714,,429.271283758,33.78888889,30.957142858571427,4.122282608695652
1987,8.511111111166667,12.677777776666666,29.02777777833333,27.472222223333333,,708.329005349,23.433333333333334,33.78888889,3.451630434782609
1988,14.055555556666668,8.511111111166667,32.27777777666667,29.02777777833333,,649.283037757,29.53333333333333,23.433333333333334,3.4869565217391307
1989,14.271428571428572,14.055555556666668,23.857142857142858,32.27777777666667,,390.368071209,27.057142857142853,29.53333333333333,3.7728260869565218
1990,12.242857142857144,14.271428571428572,19.857142857142858,23.857142857142858,,403.22315232,28.9,27.057142857142853,3.679891304347826
1991,9.425,12.242857142857144,20.625,19.857142857142858,,399.362120019,27.225,28.9,3.6869565217391305
1992,16.757142857142856,9.425,21.285714285714285,20.625,,385.7400278,31.342857142857145,27.225,3.720108695652174
1993,12.614285714285714,16.757142857142856,24.428571428571427,21.285714285714285,,493.449571822,27.3,31.342857142857145,3.435326086956522
1994,18.25714285714286,12.614285714285714,27.714285714285715,24.428571428571427,,373.293969654,30.442857142857147,27.3,3.6423913043478255
1995,21.883333333333336,18.25714285714286,25.83333333333333,27.714285714285715,,427.308593223,29.45,30.442857142857147,3.6114130434782608
1996,21.3,21.883333333333336,17.666666666666668,25.83333333333333,1.6983368811009338,449.609512642,31.28333333333333,29.45,3.544021739130435
1997,23.066666666666663,21.3,19.0,17.666666666666668,1.0923843858945121,420.429376263,29.416666666666668,31.28333333333333,3.2369565217391307
1998,21.1,23.066666666666663,34.71153846153846,19.0,0.8590913034630471,519.280270018,32.36666666666667,29.416666666666668,3.5043478260869563
1999,21.633333333333333,21.1,50.42307692307692,34.71153846153846,1.954313087724298,630.476421443,32.516666666666666,32.36666666666667,3.533152173913044
2000,22.166666666666668,21.633333333333333,42.56,50.42307692307692,1.6662609926961491,617.658009878,32.666666666666664,32.516666666666666,3.5771739130434783
2001,21.03333333333333,22.166666666666668,68.70370370370371,42.56,-0.5301565543605243,511.777686395,38.333333333333336,32.666666666666664,3.634239130434783
2002,25.5,21.03333333333333,54.57692307692308,68.70370370370371,-0.01814748411974865,549.788892476,36.66666666666666,38.333333333333336,3.2625
2003,16.821428571428573,25.5,42.875,54.57692307692308,0.2587069566190108,415.380321548,33.57142857142857,36.66666666666666,3.514130434782609
2004,25.6,16.821428571428573,38.66666666666666,42.875,1.8058857049023747,558.396489496,36.833333333333336,33.57142857142857,3.526470588235294
2005,20.2,25.6,46.5,38.66666666666666,1.1843056667273582,471.970340091,32.01086956521739,36.833333333333336,3.4666666666666663
2006,29.15416666666667,20.2,48.333333333333336,46.5,1.6385369312936098,535.903365983,34.5,32.01086956521739,3.07103825136612
2007,17.944000000000003,29.15416666666667,65.71428571428571,48.333333333333336,1.3627968822569902,555.647754243,32.16,34.5,3.3950276243093924
2008,15.8875,17.944000000000003,69.0,65.71428571428571,-0.29792910366024683,591.631903338,32.75,32.16,3.098314606741573
2009,16.343478260869563,15.8875,58.285714285714285,69.0,0.47201651129618205,489.809454496,28.956521739130437,32.75,3.2211956521739133
2010,11.695652173913045,16.343478260869563,61.71428571428572,58.285714285714285,-1.389570764944003,564.488533628,26.347826086956523,28.956521739130437,3.274863387978142
2011,12.188,11.695652173913045,72.23076923076923,61.71428571428572,-2.241768953042097,732.345966237,26.56,26.347826086956523,3.3369565217391304
2012,13.520833333333334,12.188,64.0,72.23076923076923,-1.4408971412231413,630.389545747,26.041666666666668,26.56,3.621428571428571
2013,14.13846153846154,13.520833333333334,60.22307692307693,64.0,-0.608085599179727,500.999999296,22.99230769230769,26.041666666666668,3.567391304347826
2014,12.6,14.13846153846154,41.86363636363637,60.22307692307693,-1.1858864005546046,626.7322040829999,20.3,22.99230769230769,3.519889502762431
2015,14.925,12.6,52.833333333333336,41.86363636363637,-1.3555853217473475,686.892707279,24.25,20.3,3.7711956521739127
2016,9.590909090909092,14.925,52.0,52.833333333333336,-1.6437618486245638,408.035955162,18.75,24.25,3.755978260869565
2017,12.866666666666667,9.590909090909092,42.0,52.0,-1.2670299527728108,570.221294752,19.666666666666668,18.75,3.7103260869565218
2018,10.741666666666667,12.866666666666667,36.333333333333336,42.0,-0.4760559125166805,312.80900277,18.666666666666668,19.666666666666668,3.9684782608695657
