year,chla,chla_prevSummer,colour,colour_prevSummer,cyano,rain,TP,TP_prevSummer,wind_speed
1996,21.3,21.883333333333336,17.666666666666668,25.83333333333333,1.6983368811009338,458.782144017,31.28333333333333,29.45,3.5244565217391304
1997,23.066666666666663,21.3,19.0,17.666666666666668,1.0923843858945121,420.414229542,29.416666666666668,31.28333333333333,3.231521739130435
1998,21.1,23.066666666666663,34.71153846153846,19.0,0.8590913034630471,520.147169157,32.36666666666667,29.416666666666668,3.488586956521739
1999,21.633333333333333,21.1,50.42307692307692,34.71153846153846,1.954313087724298,636.833939021,32.516666666666666,32.36666666666667,3.5309782608695657
2000,22.166666666666668,21.633333333333333,42.56,50.42307692307692,1.6662609926961491,621.651733148,32.666666666666664,32.516666666666666,3.6114130434782608
2001,21.03333333333333,22.166666666666668,68.42307692307692,42.56,-0.5301565543605243,518.289505818,38.333333333333336,32.666666666666664,3.664130434782609
2002,25.5,21.03333333333333,54.57692307692308,68.42307692307692,-0.01814748411974865,535.578266566,36.66666666666666,38.333333333333336,3.257065217391304
2003,16.821428571428573,25.5,42.875,54.57692307692308,0.2587069566190108,413.40980962,33.57142857142857,36.66666666666666,3.493478260869565
2004,25.6,16.821428571428573,38.66666666666666,42.875,1.8058857049023747,558.396489496,36.833333333333336,33.57142857142857,3.5329411764705885
2005,20.2,25.6,46.5,38.66666666666666,1.1843056667273582,471.919824867,32.01086956521739,36.833333333333336,3.465497076023392
2006,29.15416666666667,20.2,48.333333333333336,46.5,1.6385369312936098,533.370308277,34.5,32.01086956521739,3.062295081967213
2007,17.944000000000003,29.15416666666667,64.66666666666667,48.333333333333336,1.3627968822569902,556.130432226,32.16,34.5,3.403314917127072
2008,15.8875,17.944000000000003,69.0,64.66666666666667,-0.29792910366024683,590.597540865,32.75,32.16,3.0904494382022474
2009,16.343478260869563,15.8875,58.285714285714285,69.0,0.47201651129618205,490.614022418,28.956521739130437,32.75,3.2086956521739127
2010,11.695652173913045,16.343478260869563,61.71428571428572,58.285714285714285,-1.389570764944003,563.278236902,26.347826086956523,28.956521739130437,3.279234972677596
2011,12.188,11.695652173913045,72.88888888888889,61.71428571428572,-2.241768953042097,733.474577136,26.56,26.347826086956523,3.3375
2012,13.8,12.188,64.15384615384616,72.88888888888889,-1.4408971412231413,645.735078393,26.39130434782609,26.56,3.631868131868132
2013,14.13846153846154,13.8,60.22307692307693,64.15384615384616,-0.608085599179727,504.924783321,22.99230769230769,26.39130434782609,3.5597826086956523
2014,12.6,14.13846153846154,41.86363636363637,60.22307692307693,-1.1858864005546046,633.60397944,20.3,22.99230769230769,3.508839779005525
2015,14.925,12.6,52.833333333333336,41.86363636363637,-1.3555853217473475,684.936514938,24.25,20.3,3.7690217391304346
2016,9.590909090909092,14.925,52.0,52.833333333333336,-1.6437618486245638,396.82371279,18.75,24.25,3.7516304347826086
2017,12.866666666666667,9.590909090909092,42.0,52.0,-1.2670299527728108,570.221294752,19.666666666666668,18.75,3.705434782608696
2018,10.741666666666667,12.866666666666667,36.333333333333336,42.0,-0.4760559125166805,300.208552709,18.666666666666668,19.666666666666668,3.959782608695652
