year,cyano,chla,colour,colour_prevSummer,rain
1996,4.8,21.3,17.666666666666668,25.83333333333333,458.782144017
1997,2.82,23.066666666666663,19.0,17.666666666666668,420.414229542
1998,2.28,21.1,34.71153846153846,19.0,520.147169157
1999,5.96,21.633333333333333,50.42307692307692,34.71153846153846,636.833939021
2000,4.67,22.166666666666668,42.56,50.42307692307692,621.651733148
2001,0.58,21.03333333333333,68.42307692307692,42.56,518.289505818
2002,0.982,25.5,54.57692307692308,68.42307692307692,535.578266566
2003,1.291,16.821428571428573,42.875,54.57692307692308,413.40980962
2004,5.26,25.6,38.66666666666666,42.875,558.396489496
2005,3.0626,20.2,46.5,38.66666666666666,471.919824867
2006,4.5602,29.15416666666667,48.333333333333336,46.5,533.370308277
2007,3.588,17.944000000000003,64.66666666666667,48.333333333333336,556.130432226
2008,0.739,15.8875,69.0,64.66666666666667,590.597540865
2009,1.586,16.343478260869563,58.285714285714285,69.0,490.614022418
2010,0.224,11.695652173913045,61.71428571428572,58.285714285714285,563.278236902
2011,0.079,12.188,72.88888888888889,61.71428571428572,733.474577136
2012,0.211,13.8,64.15384615384616,72.88888888888889,645.735078393
2013,0.534,14.13846153846154,60.22307692307693,64.15384615384616,504.924783321
2014,0.283,12.6,41.86363636363637,60.22307692307693,633.60397944
2015,0.233,14.925,52.833333333333336,41.86363636363637,684.936514938
2016,0.166,9.590909090909092,52.0,52.833333333333336,396.82371279
2017,0.258,12.866666666666667,42.0,52.0,570.221294752
2018,0.614,10.741666666666667,36.333333333333336,42.0,300.208552709
