var,model,pearsons_cc,spearman_cc,mae,rmse,bias,mape,mathews_cc,roc_auc_score,classification_error
TP,sim_naive,0.642,0.622,3.318,4.286,0.700,3.466,0.162,0.581,0.417
TP,sim_metno,0.646,0.638,2.985,3.680,-0.057,1.639,0.343,0.669,0.324
TP,sim_nomet,0.646,0.637,2.985,3.682,-0.068,1.599,0.343,0.669,0.324
chla,sim_naive,0.653,0.651,3.596,4.609,0.178,5.981,0.704,0.852,0.111
chla,sim_metno,0.622,0.595,3.539,4.378,-0.093,8.248,0.228,0.594,0.270
chla,sim_nomet,0.605,0.589,3.490,4.444,-0.063,9.125,0.180,0.563,0.270
colour,sim_naive,0.856,0.846,7.190,9.159,1.204,6.415,0.542,0.775,0.219
colour,sim_metno,0.866,0.869,6.427,8.406,-0.516,2.777,0.441,0.717,0.257
colour,sim_nomet,0.844,0.851,6.872,9.048,-0.753,2.706,0.441,0.717,0.257
cyano,sim_naive,0.554,0.706,1.246,1.799,0.190,79.461,0.548,0.775,0.227
cyano,sim_metno,0.594,0.724,1.182,1.539,0.018,129.970,0.699,0.833,0.174
cyano,sim_nomet,0.614,0.733,1.197,1.512,0.032,121.760,0.699,0.833,0.174
