Date,Colour
04/01/1999,54
11/01/1999,55
18/01/1999,53
25/01/1999,56
01/02/1999,57
08/02/1999,60
15/02/1999,66
22/02/1999,80
01/03/1999,57
09/03/1999,59
15/03/1999,56
22/03/1999,83
29/03/1999,81
06/04/1999,61
12/04/1999,56
19/04/1999,116
26/04/1999,57
03/05/1999,56
10/05/1999,56
18/05/1999,73
25/05/1999,53
31/05/1999,54
07/06/1999,49
14/06/1999,49
21/06/1999,51
28/06/1999,46
05/07/1999,46
12/07/1999,46
19/07/1999,48
26/07/1999,45
02/08/1999,47
09/08/1999,46
16/08/1999,44
23/08/1999,46
30/08/1999,42
06/09/1999,44
13/09/1999,45
20/09/1999,46
27/09/1999,45
04/10/1999,55
11/10/1999,59
18/10/1999,63
25/10/1999,57
01/11/1999,59
08/11/1999,57
15/11/1999,56
22/11/1999,59
29/11/1999,62
06/12/1999,63
13/12/1999,63
20/12/1999,63
27/12/1999,64
03/01/2000,67
10/01/2000,69
17/01/2000,66
24/01/2000,78
31/01/2000,68
07/02/2000,69
14/02/2000,64
21/02/2000,62
28/02/2000,64
06/03/2000,63
13/03/2000,62
20/03/2000,59
27/03/2000,64
03/04/2000,65
10/04/2000,61
17/04/2000,69
25/04/2000,63
02/05/2000,54
08/05/2000,57
15/05/2000,61
22/05/2000,58
29/05/2000,37
05/06/2000,53
13/06/2000,50
19/06/2000,49
26/06/2000,45
03/07/2000,48
10/07/2000,46
24/07/2000,41
31/07/2000,40
07/08/2000,35
14/08/2000,35
28/08/2000,36
04/09/2000,34
11/09/2000,32
18/09/2000,31
25/09/2000,29
02/10/2000,30
09/10/2000,28
16/10/2000,46
23/10/2000,46
30/10/2000,43
06/11/2000,63
13/11/2000,68
20/11/2000,68
27/11/2000,76
04/12/2000,67
11/12/2000,94
18/12/2000,86
27/12/2000,78
02/01/2001,87
08/01/2001,99
15/01/2001,101
22/01/2001,93
29/01/2001,93
05/02/2001,96
12/02/2001,92
19/02/2001,99
26/02/2001,94
05/03/2001,93
12/03/2001,97
19/03/2001,94
26/03/2001,98
02/04/2001,89
09/04/2001,91
17/04/2001,81
23/04/2001,79
30/04/2001,76
07/05/2001,75
14/05/2001,74
21/05/2001,77
28/05/2001,75
05/06/2001,74
11/06/2001,75
18/06/2001,72
25/06/2001,72
02/07/2001,72
09/07/2001,69
16/07/2001,76
23/07/2001,74
30/07/2001,68
06/08/2001,75
13/08/2001,75
20/08/2001,71
27/08/2001,78
03/09/2001,70
10/09/2001,67
17/09/2001,69
24/09/2001,46
01/10/2001,51
08/10/2001,52
15/10/2001,59
22/10/2001,57
29/10/2001,56
05/11/2001,65
12/11/2001,66
19/11/2001,64
26/11/2001,64
03/12/2001,65
10/12/2001,64
17/12/2001,64
27/12/2001,66
02/01/2002,65
07/01/2002,67
14/01/2002,65
21/01/2002,67
28/01/2002,65
04/02/2002,65
11/02/2002,65
18/02/2002,70
25/02/2002,74
04/03/2002,70
11/03/2002,70
18/03/2002,70
25/03/2002,69
02/04/2002,73
08/04/2002,70
15/04/2002,69
22/04/2002,69
29/04/2002,68
06/05/2002,66
13/05/2002,66
21/05/2002,65
27/05/2002,61
03/06/2002,63
10/06/2002,64
17/06/2002,61
24/06/2002,58
01/07/2002,58
08/07/2002,55
15/07/2002,53
22/07/2002,54
29/07/2002,52
05/08/2002,52
12/08/2002,52
19/08/2002,51
26/08/2002,51
02/09/2002,52
09/09/2002,51
16/09/2002,51
23/09/2002,56
30/09/2002,54
07/10/2002,44
14/10/2002,43
21/10/2002,43
28/10/2002,43
04/11/2002,48
11/11/2002,47
18/11/2002,48
25/11/2002,47
02/12/2002,51
09/12/2002,48
16/12/2002,49
23/12/2002,50
30/12/2002,49
07/01/2003,50
13/01/2003,
20/01/2003,
27/01/2003,
03/02/2003,
10/02/2003,
17/02/2003,
24/02/2003,
03/03/2003,59
10/03/2003,
17/03/2003,
24/03/2003,
31/03/2003,55
07/04/2003,
14/04/2003,
22/04/2003,
28/04/2003,
05/05/2003,45
12/05/2003,
19/05/2003,
26/05/2003,
02/06/2003,52
10/06/2003,
16/06/2003,
23/06/2003,
30/06/2003,50
07/07/2003,
14/07/2003,
21/07/2003,
28/07/2003,45
04/08/2003,45
11/08/2003,
18/08/2003,
25/08/2003,
01/09/2003,44
08/09/2003,
15/09/2003,
22/09/2003,
29/09/2003,33
06/10/2003,
13/10/2003,
20/10/2003,
27/10/2003,29
03/11/2003,29
10/11/2003,
17/11/2003,
24/11/2003,
01/12/2003,29
08/12/2003,
15/12/2003,
22/12/2003,
05/01/2004,38
12/01/2004,
19/01/2004,
26/01/2004,
02/02/2004,38
09/02/2004,
16/02/2004,
23/02/2004,
01/03/2004,43
08/03/2004,
15/03/2004,
22/03/2004,
29/03/2004,47
05/04/2004,
12/04/2004,
19/04/2004,
26/04/2004,
03/05/2004,31
10/05/2004,
18/05/2004,
24/05/2004,
01/06/2004,44
07/06/2004,
14/06/2004,
21/06/2004,
28/06/2004,
05/07/2004,41
12/07/2004,
19/07/2004,
26/07/2004,
02/08/2004,37
09/08/2004,
16/08/2004,
23/08/2004,
30/08/2004,
06/09/2004,39
13/09/2004,
20/09/2004,
27/09/2004,
04/10/2004,40
11/10/2004,
18/10/2004,
25/10/2004,
01/11/2004,50
08/11/2004,
15/11/2004,
22/11/2004,
29/11/2004,
06/12/2004,56
13/12/2004,
20/12/2004,
27/12/2004,
03/01/2005,64
10/01/2005,
17/01/2005,
24/01/2005,
31/01/2005,65
07/02/2005,
14/02/2005,
21/02/2005,
28/02/2005,65
07/03/2005,
14/03/2005,
21/03/2005,
28/03/2005,
04/04/2005,61
11/04/2005,
18/04/2005,
25/04/2005,
02/05/2005,57
09/05/2005,
18/05/2005,
23/05/2005,
30/05/2005,
06/06/2005,53
13/06/2005,
20/06/2005,
27/06/2005,
04/07/2005,50
11/07/2005,
18/07/2005,
25/07/2005,
01/08/2005,44
08/08/2005,
15/08/2005,
22/08/2005,
29/08/2005,
05/09/2005,43
12/09/2005,
19/09/2005,
26/09/2005,
03/10/2005,32
10/10/2005,
17/10/2005,
24/10/2005,
31/10/2005,
07/11/2005,44
14/11/2005,
21/11/2005,
28/11/2005,
05/12/2005,52
12/12/2005,
19/12/2005,
27/12/2005,
02/01/2006,
09/01/2006,
16/01/2006,
23/01/2006,
30/01/2006,
06/02/2006,55.3
13/02/2006,62
20/02/2006,
27/02/2006,60
06/03/2006,
13/03/2006,
20/03/2006,
27/03/2006,
03/04/2006,57
10/04/2006,
18/04/2006,
24/04/2006,
02/05/2006,60
08/05/2006,
15/05/2006,
22/05/2006,
29/05/2006,
06/06/2006,58
12/06/2006,
19/06/2006,
26/06/2006,
03/07/2006,
10/07/2006,52
17/07/2006,
24/07/2006,
31/07/2006,53
07/08/2006,
14/08/2006,
21/08/2006,
28/08/2006,
04/09/2006,17
11/09/2006,
18/09/2006,
25/09/2006,
02/10/2006,50
09/10/2006,
16/10/2006,
23/10/2006,
30/10/2006,
06/11/2006,44
13/11/2006,
20/11/2006,
27/11/2006,
04/12/2006,
11/12/2006,
18/12/2006,
27/12/2006,
02/01/2007,
08/01/2007,
15/01/2007,86
22/01/2007,
29/01/2007,85
05/02/2007,
12/02/2007,
19/02/2007,
26/02/2007,80
05/03/2007,
12/03/2007,
19/03/2007,
26/03/2007,
02/04/2007,74
10/04/2007,
