Date,Cyano_biovol_mm3_per_m3
13.06.1996,120
01.07.1996,1830
22.07.1996,4420
12.08.1996,4230
03.09.1996,4800
23.09.1996,3670
10.06.1997,180
03.07.1997,1850
23.07.1997,1920
12.08.1997,1740
02.09.1997,2820
24.09.1997,1700
03.06.1998,60
24.06.1998,640
15.07.1998,1980
05.08.1998,1650
26.08.1998,2280
16.09.1998,1110
15.06.1999,470
07.07.1999,1070
02.08.1999,3660
05.09.1999,5960
30.09.1999,530
06.06.2000,20
27.06.2000,97
18.07.2000,473
08.08.2000,837
16.08.2000,4670
29.08.2000,856
19.09.2000,752
07.06.2001,3
27.06.2001,401
18.07.2001,491
08.08.2001,551
29.08.2001,580
19.09.2001,353
05.06.2002,215
25.06.2002,982
17.07.2002,519
07.08.2002,745
28.08.2002,558
18.09.2002,355
11.06.2003,194
02.07.2003,631
23.07.2003,1119
13.08.2003,1291
03.09.2003,924
24.09.2003,461
08.06.2004,1276
29.06.2004,5260
20.07.2004,978
11.08.2004,572
31.08.2004,282
21.09.2004,430
18.04.2005,14.5
09.05.2005,40
23.05.2005,196.8
07.06.2005,163
21.06.2005,643
04.07.2005,2666.9
18.07.2005,2994.1
01.08.2005,2784.8
15.08.2005,3062.6
29.08.2005,775.4
12.09.2005,1661.4
27.09.2005,886
10.10.2005,560.1
02.05.2006,0
15.05.2006,27.7
29.05.2006,31
12.06.2006,172.6
26.06.2006,1147.5
10.07.2006,2162
24.07.2006,3068.6
07.08.2006,4560.2
21.08.2006,3775.6
04.09.2006,4547.2
18.09.2006,2150.2
03.10.2006,1963.3
11.04.2007,22
23.04.2007,12
07.05.2007,86
21.05.2007,291
11.06.2007,1397
22.06.2007,1001
02.07.2007,3588
09.07.2007,2993
16.07.2007,1913
23.07.2007,1633
01.08.2007,1029
13.08.2007,2719
20.08.2007,1451
27.08.2007,1940
10.09.2007,724
24.09.2007,364
08.10.2007,65
17.04.2008,0
28.04.2008,1
13.05.2008,11
26.05.2008,43
09.06.2008,60
16.06.2008,41
24.06.2008,115
07.07.2008,545
21.07.2008,559
04.08.2008,739
18.08.2008,372
01.09.2008,155
15.09.2008,111
29.09.2008,160
13.10.2008,49
04.05.2009,6
18.05.2009,8
08.06.2009,151
22.06.2009,1438
06.07.2009,828
20.07.2009,527
03.08.2009,1586
17.08.2009,598
31.08.2009,176
14.09.2009,441
28.09.2009,85
12.10.2009,149
03.05.2010,1
18.05.2010,7
31.05.2010,9
14.06.2010,59
28.06.2010,93
12.07.2010,161
26.07.2010,160
09.08.2010,224
31.08.2010,83
14.09.2010,67
27.09.2010,45
11.10.2010,16
03.05.2011,0
18.05.2011,15
30.05.2011,42
14.06.2011,19
23.06.2011,29
11.07.2011,79
25.07.2011,46
08.08.2011,19
22.08.2011,30
05.09.2011,50
19.09.2011,23
03.10.2011,33
17.10.2011,2
23.04.2012,0
07.05.2012,0
21.05.2012,5
04.06.2012,2
18.06.2012,22
02.07.2012,8
16.07.2012,46
30.07.2012,22
13.08.2012,55
27.08.2012,59
10.09.2012,143
24.09.2012,211
08.10.2012,150
07.05.2013,8
13.05.2013,13
27.05.2013,34
10.06.2013,143
24.06.2013,83
08.07.2013,360
22.07.2013,333
05.08.2013,229
19.08.2013,301
02.09.2013,450
20.09.2013,534
30.09.2013,215
14.10.2013,65
29.04.2014,8
13.05.2014,19
27.05.2014,37
10.06.2014,113
24.06.2014,121
08.07.2014,121
24.07.2014,283
05.08.2014,190
19.08.2014,128
02.09.2014,105
16.09.2014,96
30.09.2014,65
14.10.2014,62
29.04.2015,1
13.05.2015,4
27.05.2015,10
09.06.2015,41
24.06.2015,89
06.07.2015,103
22.07.2015,107
05.08.2015,233
19.08.2015,156
02.09.2015,168
07.09.2015,149
17.09.2015,78
30.09.2015,25
14.10.2015,7
25.04.2016,0
09.05.2016,1
23.05.2016,2
06.06.2016,19
19.06.2016,36
04.07.2016,50
18.07.2016,80
02.08.2016,111
15.08.2016,163
29.08.2016,166
12.09.2016,151
26.09.2016,104
10.10.2016,142
26.04.2017,18
09.05.2017,11
22.05.2017,30
05.06.2017,46
19.06.2017,77
03.07.2017,52
17.07.2017,141
31.07.2017,232
21.08.2017,216
28.08.2017,258
11.09.2017,178
25.09.2017,110
09.10.2017,61
25.04.2018,2
07.05.2018,3
23.05.2018,9
04.06.2018,42
18.06.2018,126
02.07.2018,260
16.07.2018,211
31.07.2018,388
13.08.2018,179
27.08.2018,614
10.09.2018,296
24.09.2018,176
08.10.2018,149
24.04.2019,6
06.05.2019,9
20.05.2019,43
03.06.2019,62
17.06.2019,154
01.07.2019,177
15.07.2019,157
29.07.2019,386
12.08.2019,452
26.08.2019,592
09.09.2019,215
23.09.2019,162
07.10.2019,37
22.04.2020,0
04.05.2020,1
18.05.2020,8
02.06.2020,22
15.06.2020,24
07.07.2020,73
13.07.2020,77
27.07.2020,68
10.08.2020,134
24.08.2020,167
07.09.2020,119
21.09.2020,83
05.10.2020,53
