Date,colour,chl-a,TP
20.01.1964,78.5,,
24.02.1964,87,,
16.03.1964,55,,
21.04.1964,53.6,,
19.05.1964,57.66666667,,
24.06.1964,47.5,,
29.07.1964,47.25,,
26.08.1964,64.8,,
24.09.1964,40.2,,
19.10.1964,76,,
24.11.1964,78.6,,
25.01.1965,109.25,,
15.04.1980,72.5,,38.5
29.04.1980,81.4,3.971428571,52
13.05.1980,81.33333333,7.283333333,45
28.05.1980,,12.61428571,32.71428571
10.06.1980,83,15.3,41.6
24.06.1980,94.42857143,11.1,23.66666667
08.07.1980,104.8333333,13.15714286,35.85714286
22.07.1980,67.85714286,13.56,37.66666667
05.08.1980,88,26.47142857,32
19.08.1980,64,21.86666667,102.8
02.09.1980,161.7142857,27.1,32.71428571
16.09.1980,67.2,14.62857143,35.85714286
30.09.1980,58,13.8,33
14.10.1980,90.5,,70
23.06.1981,31,6.45,20.5
28.07.1981,60.33333333,7.7,26.66666667
01.09.1981,69,11.525,46.66666667
29.09.1981,75.75,7.65,21.5
24.03.1982,133.3333333,,51.75
20.04.1982,80,1.1,40.75
04.05.1982,,3.8,
18.05.1982,,3.4,35.33333333
01.06.1982,,9.2,41
29.06.1982,,,37
04.08.1982,,7.45,23.33333333
18.08.1982,,10.5,
29.08.1982,30,6,27
16.09.1982,27.5,6.225,11.25
28.09.1982,,4.3,
18.10.1982,22.5,2.9,14
14.04.1983,34,1.9,38
03.05.1983,34,2.6,33
25.05.1983,23,2.4,33
14.06.1983,20,6.7,25.4
05.07.1983,9,7.4,30
26.07.1983,11,10.8,38.4
16.08.1983,20,7.8,33.8
06.09.1983,11,5.4,25.25
27.09.1983,13,5.3,19.4
13.03.1984,28,,26.25
03.05.1984,,12.6,25.65
21.05.1984,,7.4,19.2
06.06.1984,,5.425,27.9
27.06.1984,,11.525,31.05
18.07.1984,,14.2,33
08.08.1984,,15.625,27
29.08.1984,,20.975,33.75
19.09.1984,,7.25,24.375
10.10.1984,,9.5,22.5
31.10.1984,,6.4,20.85
03.06.1985,36,8.333333333,33.56666667
24.06.1985,36,10.5,39.36666667
16.07.1985,30.33333333,11.1,36.86666667
05.08.1985,28.5,16.23333333,29.6
26.08.1985,30,21.3,28.2
16.09.1985,39.5,10.9,24.3
10.10.1985,40.5,4.9,24.8
08.06.1986,35,6.733333333,28.2
01.07.1986,29.66666667,8.666666667,32.6
22.07.1986,29.66666667,17.33333333,39.2
12.08.1986,26,17.33333333,37.8
02.09.1986,24.5,15,35.66666667
23.09.1986,20,11,29.26666667
03.06.1987,31,2.3,22
24.06.1987,28,13,23.1
